num_target;      la; isd;  niter;     tex; tr_acc; te_acc;        L*;
         8;  0.0100;   7;   1750;  0.0336;    1.0;    0.9;  1.05e-01;
         8;  0.1000;   1;     44;  0.0797;    0.9;    0.9;  1.77e-01;
         8;  0.1000;   3;     16;  0.0423;    0.9;    0.9;  1.77e-01;
         8;  0.1000;   7;   3125;  0.0600;    0.5;    0.9;  4.10e-01;
         9;  0.0000;   1;    519;  0.6659;    1.0;    1.0;  1.17e-06;
         9;  0.0000;   3;     22;  0.0405;    1.0;    1.0;  7.86e-08;
         9;  0.0000;   7;   1750;  0.0305;    1.0;    1.0;  1.96e-02;
         9;  0.0100;   1;    221;  0.2902;    1.0;    1.0;  6.14e-02;
         9;  0.0100;   3;     51;  0.0981;    1.0;    1.0;  6.14e-02;
         9;  0.0100;   7;   1375;  0.0244;    0.5;    0.9;  5.42e-01;
         9;  0.1000;   1;     38;  0.0617;    1.0;    1.0;  1.57e-01;
         9;  0.1000;   3;     18;  0.0445;    1.0;    1.0;  1.57e-01;
         9;  0.1000;   7;   2250;  0.0392;    0.5;    0.9;  4.40e-01;
         0;  0.0000;   1;    341;  0.4450;    1.0;    1.0;  8.84e-07;
         0;  0.0000;   3;      7;  0.0124;    1.0;    1.0;  4.00e-03;
         0;  0.0000;   7;   3000;  0.0517;    1.0;    1.0;  4.12e-04;
         0;  0.0100;   1;    181;  0.2463;    1.0;    1.0;  5.16e-02;
         0;  0.0100;   3;     52;  0.1003;    1.0;    1.0;  5.16e-02;
         0;  0.0100;   7;   2000;  0.0380;    0.9;    1.0;  1.49e-01;
         0;  0.1000;   1;     52;  0.0893;    1.0;    1.0;  1.43e-01;
         0;  0.1000;   3;     17;  0.0433;    1.0;    1.0;  1.43e-01;
         0;  0.1000;   7;   5375;  0.0981;    0.8;    1.0;  1.92e-01;
